iter	Passed	Remaining
399	51059	76588
400	51183	76456
401	51305	76319
402	51414	76165
403	51544	76041
404	51683	75929
405	51835	75838
406	51972	75724
407	52097	75592
408	52236	75481
409	52378	75374
410	52504	75244
411	52627	75109
412	52754	74979
413	52878	74846
414	53008	74722
415	53144	74607
416	53265	74469
417	53390	74338
418	53531	74228
419	53655	74095
420	53798	73988
421	53920	73853
422	54049	73726
423	54188	73614
424	54295	73458
425	54416	73321
426	54543	73192
427	54664	73056
428	54786	72920
429	54920	72801
430	55043	72667
431	55170	72539
432	55277	72383
433	55390	72236
434	55520	72112
435	55683	72031
436	55801	71891
437	55933	71768
438	56040	71613
439	56180	71503
440	56302	71367
441	56429	71239
442	56549	71102
443	56675	70972
444	56801	70842
445	56917	70700
446	57074	70608
447	57203	70482
448	57328	70351
449	57454	70222
450	57577	70088
451	57686	69939
452	57809	69805
453	57946	69688
454	58057	69541
455	58189	69418
456	58309	69282
457	58435	69152
458	58595	69063
459	58722	68934
460	58798	68746
461	58914	68605
462	59037	68473
463	59168	68350
464	59301	68229
465	59427	68098
466	59568	67986
467	59692	67855
468	59818	67726
469	59942	67594
470	60079	67477
471	60191	67333
472	60312	67197
473	60440	67070
474	60563	66939
475	60688	66808
476	60811	66676
477	60925	66533
478	61048	66401
479	61171	66269
480	61283	66125
481	61409	65995
482	61537	65869
483	61659	65736
484	61780	65602
485	61912	65479
486	62030	65342
487	62160	65218
488	62282	65084
489	62399	64945
490	62516	64807
491	62642	64679
492	62753	64535
493	62891	64418
494	63013	64287
495	63146	64165
496	63266	64029
497	63386	63896
498	63510	63764
499	63622	63622
500	63733	63478
501	63853	63345
502	63963	63200
503	64102	63084
504	64232	62960
505	64369	62843
506	64498	62717
507	64633	62597
508	64762	62472
509	64899	62354
510	65027	62228
511	65163	62108
512	65304	61994
513	65444	61878
514	65568	61748
515	65694	61620
516	65803	61476
517	65933	61351
518	66035	61200
519	66170	61080
520	66304	60959
521	66436	60836
522	66585	60728
523	66718	60606
524	66847	60481
525	66982	60360
526	67106	60230
527	67250	60117
528	67372	59985
529	67497	59856
530	67622	59726
531	67744	59594
532	67873	59468
533	67997	59338
534	68103	59192
535	68229	59064
536	68349	58930
537	68461	58790
538	68585	58660
539	68707	58528
540	68835	58401
541	68963	58275
542	69101	58157
543	69243	58042
544	69365	57910
545	69489	57780
546	69595	57635
547	69707	57496
548	69816	57353
549	69941	57225
550	70063	57093
551	70178	56956
552	70288	56815
553	70430	56700
554	70571	56584
555	70694	56454
556	70809	56316
557	70963	56211
558	71100	56091
559	71224	55962
560	71333	55820
561	71445	55681
562	71570	55553
563	71692	55421
564	71837	55308
565	71954	55173
566	72067	55035
567	72181	54898
568	72309	54772
569	72427	54638
570	72567	54520
571	72707	54403
572	72844	54283
573	72982	54165
574	73095	54027
575	73218	53897
576	73329	53758
577	73451	53627
578	73583	53503
579	73720	53383
580	73849	53257
581	73974	53129
582	74106	53005
583	74229	52875
584	74368	52757
585	74481	52620
586	74605	52490
587	74731	52362
588	74851	52230
589	74967	52095
590	75077	51957
591	75186	51817
592	75312	51689
593	75433	51558
594	75562	51433
595	75701	51314
596	75840	51195
597	75965	51066
598	76087	50936
599	76198	50799
600	76338	50680
601	76463	50552
602	76571	50412
603	76700	50286
604	76807	50147
605	76946	50027
606	77074	49901
607	77191	49768
608	77320	49642
609	77443	49513
610	77558	49378
611	77692	49255
612	77815	49126
613	77937	48996
614	78064	48869
615	78186	48739
616	78311	48611
617	78437	48484
618	78564	48357
619	78686	48227
620	78811	48099
621	78949	47978
622	79072	47849
623	79199	47722
624	79323	47594
625	79445	47464
626	79569	47335
627	79696	47208
628	79807	47072
629	79917	46935
630	80023	46796
631	80163	46677
632	80289	46550
633	80412	46421
634	80532	46290
635	80664	46166
636	80788	46038
637	80914	45910
638	81046	45787
639	81177	45662
640	81287	45526
641	81411	45397
642	81536	45269
643	81663	45142
644	81795	45019
645	81927	44895
646	82052	44767
647	82170	44635
648	82299	44510
649	82434	44387
650	82563	44262
651	82685	44132
652	82797	43998
653	82904	43861
654	83028	43732
655	83151	43603
656	83260	43467
657	83388	43341
658	83507	43211
659	83621	43077
660	83730	42942
661	83849	42811
662	83977	42685
663	84085	42549
664	84220	42426
665	84322	42287
666	84447	42160
667	84568	42031
668	84712	41913
669	84839	41786
670	84970	41662
671	85101	41537
672	85208	41401
673	85333	41273
674	85460	41147
675	85580	41017
676	85712	40894
677	85844	40769
678	85967	40641
679	86127	40530
680	86248	40401
681	86369	40272
682	86495	40144
683	86652	40032
684	86776	39904
685	86906	39779
686	87032	39652
687	87152	39522
688	87292	39401
689	87430	39280
690	87542	39147
691	87672	39021
692	87804	38897
693	87931	38771
694	88067	38648
695	88190	38520
696	88331	38399
697	88456	38272
698	88582	38145
699	88706	38017
700	88838	37892
701	88957	37762
702	89080	37634
703	89206	37507
704	89328	37378
705	89453	37251
706	89566	37118
707	89690	36990
708	89815	36863
709	89926	36730
710	90049	36602
711	90177	36476
712	90298	36347
713	90421	36219
714	90550	36093
715	90704	35977
716	90829	35850
717	90954	35723
718	91062	35589
719	91175	35457
720	91298	35329
721	91417	35199
722	91547	35074
723	91679	34949
724	91796	34819
725	91906	34686
726	92015	34553
727	92137	34424
728	92286	34306
729	92418	34182
730	92543	34055
731	92668	33927
732	92796	33801
733	92924	33675
734	93041	33545
735	93180	33423
736	93306	33296
737	93428	33168
738	93556	33042
739	93677	32913
740	93819	32792
741	93956	32669
742	94065	32536
743	94190	32409
744	94328	32286
745	94471	32165
746	94593	32037
747	94717	31910
748	94844	31783
749	94965	31655
750	95097	31530
751	95242	31409
752	95373	31284
753	95498	31157
754	95622	31029
755	95747	30902
756	95871	30775
757	95997	30648
758	96139	30526
759	96263	30399
760	96383	30270
761	96513	30144
762	96648	30020
763	96790	29898
764	96901	29767
765	97037	29643
766	97162	29516
767	97289	29389
768	97426	29265
769	97548	29137
770	97708	29021
771	97837	28894
772	97951	28764
773	98074	28636
774	98203	28510
775	98343	28387
776	98464	28259
777	98574	28127
778	98715	28005
779	98851	27881
780	98990	27757
781	99118	27631
782	99245	27504
783	99368	27377
784	99498	27251
785	99606	27119
786	99756	26998
787	99896	26875
788	100023	26748
789	100148	26621
790	100273	26494
791	100396	26366
792	100508	26236
793	100613	26103
794	100736	25975
795	100873	25852
796	101005	25726
797	101146	25603
798	101262	25474
799	101390	25347
800	101542	25227
801	101688	25105
802	101810	24977
803	101921	24846
804	102049	24720
805	102166	24591
806	102306	24467
807	102446	24343
808	102561	24214
809	102683	24086
810	102803	23957
811	102917	23828
812	103055	23704
813	103184	23577
814	103315	23451
815	103441	23324
816	103566	23197
817	103690	23070
818	103814	22943
819	103946	22817
820	104066	22689
821	104197	22563
822	104321	22435
823	104465	22313
824	104604	22188
825	104729	22061
826	104870	21937
827	104987	21809
828	105121	21683
829	105247	21556
830	105357	21426
831	105480	21299
832	105607	21172
833	105741	21046
834	105871	20920
835	106009	20796
836	106142	20670
837	106271	20544
838	106395	20416
839	106521	20289
840	106648	20163
841	106776	20036
842	106937	19915
843	107069	19790
844	107187	19661
845	107304	19532
846	107427	19405
847	107541	19276
848	107668	19149
849	107817	19026
850	107946	18900
851	108068	18772
852	108183	18643
853	108301	18515
854	108424	18387
855	108541	18259
856	108677	18134
857	108824	18010
858	108940	17881
859	109066	17754
860	109207	17630
861	109321	17501
862	109439	17373
863	109565	17246
864	109676	17117
865	109781	16987
866	109893	16857
867	110016	16730
868	110129	16601
869	110266	16476
870	110390	16349
871	110516	16222
872	110636	16094
873	110752	15966
874	110880	15840
875	111000	15712
876	111141	15587
877	111264	15460
878	111404	15335
879	111526	15208
880	111660	15082
881	111790	14956
882	111945	14833
883	112072	14706
884	112209	14580
885	112355	14456
886	112489	14330
887	112612	14203
888	112719	14074
889	112821	13944
890	112944	13817
891	113083	13691
892	113207	13564
893	113346	13439
894	113475	13312
895	113611	13187
896	113721	13058
897	113850	12931
898	114019	12809
899	114156	12684
900	114279	12556
901	114401	12429
902	114503	12299
903	114640	12174
904	114774	12048
905	114927	11924
906	115042	11795
907	115161	11668
908	115286	11541
909	115392	11412
910	115519	11285
911	115640	11158
912	115770	11031
913	115906	10905
914	116031	10778
915	116156	10651
916	116281	10524
917	116421	10399
918	116531	10271
919	116670	10145
920	116793	10018
921	116905	9890
922	117027	9762
923	117156	9636
924	117264	9507
925	117387	9380
926	117512	9253
927	117635	9126
928	117746	8998
929	117872	8872
930	118007	8745
931	118139	8619
932	118269	8493
933	118380	8365
934	118506	8238
935	118633	8111
936	118758	7984
937	118895	7858
938	119040	7733
939	119163	7606
940	119294	7479
941	119425	7353
942	119547	7226
943	119675	7099
944	119781	6971
945	119893	6843
946	120019	6717
947	120157	6590
948	120281	6464
949	120422	6338
950	120536	6210
951	120670	6084
952	120811	5958
953	120946	5831
954	121073	5705
955	121229	5579
956	121362	5453
957	121494	5326
958	121635	5200
959	121756	5073
960	121911	4947
961	122026	4820
962	122155	4693
963	122275	4566
964	122396	4439
965	122509	4311
966	122637	4185
967	122785	4059
968	122901	3931
969	123024	3804
970	123149	3678
971	123272	3551
972	123379	3423
973	123521	3297
974	123659	3170
975	123792	3044
976	123911	2917
977	124031	2790
978	124161	2663
979	124287	2536
980	124405	2409
981	124522	2282
982	124656	2155
983	124781	2028
984	124922	1902
985	125034	1775
986	125153	1648
987	125276	1521
988	125401	1394
989	125512	1267
990	125619	1140
991	125728	1013
992	125857	887
993	126000	760
994	126136	633
995	126271	507
996	126395	380
997	126536	253
998	126687	126
999	126803	0
